converted,customer_segment,gender,age,related_customers,family_size,initial_fee_level,credit_account_id,branch
0,13,1,25.0,1,0,15.55,0,0
1,12,0,28.0,0,0,26.0,0,0
1,11,1,4.0,0,2,163.7166,1,0
1,12,0,13.0,0,1,39.0,0,0
1,11,1,34.0,0,0,53.1,0,0
1,13,0,5.0,2,1,38.5166,0,1
1,11,1,52.0,0,0,61.0,1,0
0,12,1,36.0,1,2,55.5,0,0
0,11,1,30.0,0,0,55.5,1,1
1,11,1,49.0,1,0,178.2084,1,1
1,13,1,29.0,0,0,15.7916,0,1
0,11,1,65.0,0,0,53.1,1,0
1,12,0,50.0,0,0,21.0,0,0
1,11,1,48.0,0,0,53.1,1,0
0,13,1,34.0,0,0,16.1,0,0
0,11,1,47.0,0,0,77.0,1,0
0,12,1,48.0,0,0,26.0,0,0
0,13,1,38.0,0,0,14.1,0,0
0,11,1,56.0,0,0,53.1,0,0
1,13,0,0.75,2,1,38.5166,0,1
0,13,1,38.0,0,0,17.325,0,0
1,12,0,33.0,1,2,55.5,0,0
1,12,0,23.0,0,0,27.5834,1,1
0,13,0,22.0,0,0,19.675,0,0
0,12,1,34.0,1,0,42.0,0,0
0,13,1,29.0,1,0,14.0916,0,0
0,13,1,22.0,0,0,15.0416,0,0
1,13,0,2.0,0,1,24.575,0,0
0,13,1,9.0,5,2,93.8,0,0
0,13,1,50.0,0,0,16.1,0,0
1,13,0,63.0,0,0,19.175,0,0
1,11,1,25.0,1,0,182.1584,1,1
1,11,0,35.0,1,0,180.0,1,0
0,11,1,58.0,0,0,59.4,1,1
0,13,1,30.0,0,0,16.1,0,0
1,13,1,9.0,1,1,31.8,0,0
0,13,1,21.0,0,0,14.5,0,0
0,11,1,55.0,0,0,61.0,1,0
0,11,1,71.0,0,0,99.0084,0,1
0,13,1,21.0,0,0,16.1,0,0
1,11,0,54.0,1,0,156.5334,1,1
0,11,0,25.0,1,2,303.1,1,0
0,13,1,24.0,0,0,15.5916,0,0
0,13,1,17.0,0,0,17.325,0,0
0,13,0,21.0,0,0,15.5,0,2
0,13,0,37.0,0,0,19.175,0,0
1,11,0,16.0,0,0,173.0,1,0
0,11,1,18.0,1,0,217.8,1,1
1,12,0,33.0,0,2,52.0,0,0
0,13,1,28.0,0,0,45.05,0,0
1,13,1,26.0,0,0,112.9916,0,0
1,13,1,29.0,0,0,15.5,0,2
1,11,1,36.0,0,0,52.575,1,0
1,11,0,54.0,1,0,118.8,0,1
0,13,1,24.0,0,0,14.9916,0,0
0,11,1,47.0,0,0,68.0416,1,0
1,12,0,34.0,0,0,21.0,1,0
1,12,0,36.0,1,0,52.0,0,0
0,13,1,32.0,0,0,15.7916,0,0
1,11,0,30.0,0,0,187.0,1,0
0,13,1,22.0,0,0,15.7916,0,0
1,11,0,44.0,0,1,115.9584,1,1
0,13,1,40.5,0,0,15.5,0,2
1,12,0,50.0,0,0,21.0,0,0
0,13,1,39.0,0,0,15.85,0,0
0,12,1,23.0,2,1,23.0,0,0
1,12,0,2.0,1,1,52.0,0,0
0,13,1,17.0,1,1,14.4584,0,1
0,13,0,30.0,0,0,17.325,0,0
1,12,0,7.0,0,2,52.5,0,0
0,11,1,45.0,0,0,53.1,1,0
1,11,0,30.0,0,0,212.85,0,1
1,11,0,22.0,0,2,99.0,1,1
1,11,0,36.0,0,2,142.0,1,0
0,13,0,9.0,4,2,62.55,0,0
0,13,0,11.0,4,2,62.55,0,0
1,12,1,32.0,1,0,52.0,0,0
0,11,1,50.0,1,0,212.85,1,1
0,11,1,64.0,0,0,52.0,0,0
1,12,0,19.0,1,0,52.0,0,0
0,13,1,33.0,1,1,41.05,0,0
1,12,1,8.0,1,1,73.5,0,0
1,11,1,17.0,0,2,221.7666,1,1
0,12,1,27.0,0,0,52.0,0,0
1,13,1,22.0,0,0,14.45,0,1
1,13,0,22.0,0,0,15.55,0,0
0,11,1,62.0,0,0,53.1,0,0
1,11,0,48.0,1,0,79.2,1,1
1,11,0,39.0,1,1,159.3,1,0
1,13,0,36.0,1,0,34.8,0,0
0,13,1,40.0,0,0,15.7916,0,0
0,12,1,28.0,0,0,27.0,0,0
0,13,1,24.0,2,0,48.3,0,0
0,13,1,19.0,0,0,15.7916,0,0
0,13,0,29.0,0,4,42.15,0,0
1,13,1,32.0,0,0,15.7084,0,0
1,12,1,62.0,0,0,21.0,0,0
1,11,0,53.0,2,0,102.9584,1,0
1,11,1,36.0,0,0,52.775,1,0
0,13,1,16.0,0,0,16.1,0,0
0,13,1,19.0,0,0,29.0,0,0
1,12,0,34.0,0,0,26.0,0,0
1,11,0,39.0,1,0,111.8,1,0
1,13,1,32.0,0,0,15.85,0,0
1,12,0,25.0,1,1,60.0,0,0
1,11,0,39.0,1,1,221.7666,1,1
0,12,1,54.0,0,0,52.0,0,0
0,11,1,36.0,0,0,80.25,1,1
1,11,0,18.0,0,2,159.3,1,0
0,12,1,47.0,0,0,30.0,0,0
1,11,1,60.0,1,1,158.4,1,1
0,13,1,22.0,0,0,16.1,0,0
0,13,1,35.0,0,0,14.25,0,0
1,11,0,52.0,1,0,156.5334,1,1
0,13,1,47.0,0,0,14.5,0,0
0,12,1,37.0,1,0,52.0,0,0
0,13,1,36.0,1,1,48.3,0,0
0,13,1,49.0,0,0,0.0,0,0
1,11,1,49.0,1,0,113.8584,1,1
1,12,0,24.0,2,1,54.0,0,0
0,13,1,44.0,0,0,16.1,0,0
1,11,1,35.0,0,0,53.1,0,1
0,13,1,36.0,1,0,31.1,0,0
0,13,1,30.0,0,0,15.7916,0,0
1,11,1,27.0,0,0,61.0,0,0
1,12,0,22.0,1,2,83.1584,0,1
1,11,0,40.0,0,0,306.925,1,0
0,13,0,39.0,1,5,62.55,0,0
0,13,1,35.0,0,0,16.1,0,0
1,12,0,24.0,1,2,130.0,0,0
0,13,1,34.0,1,1,28.8,0,0
0,13,0,26.0,1,0,32.2,0,0
1,12,0,4.0,2,1,78.0,1,0
0,12,1,26.0,0,0,21.0,0,0
0,13,1,27.0,1,0,28.9084,0,1
1,11,1,42.0,1,0,105.1084,1,0
1,13,1,20.0,1,1,31.4834,0,1
0,13,1,21.0,0,0,15.7084,0,0
0,13,1,21.0,0,0,32.2,0,0
0,11,1,61.0,0,0,64.6416,1,0
0,12,1,57.0,0,0,24.7,0,2
1,11,0,21.0,0,0,155.9166,1,0
0,13,1,26.0,0,0,15.7916,0,0
1,11,1,80.0,0,0,60.0,1,0
0,13,1,51.0,0,0,14.1084,0,0
1,11,1,32.0,0,0,61.0,1,1
0,13,0,9.0,3,2,55.8,0,0
1,12,0,28.0,0,0,26.0,0,0
0,13,1,32.0,0,0,15.85,0,0
0,12,1,31.0,1,1,52.5,0,0
0,13,0,41.0,0,5,79.375,0,0
0,13,1,20.0,0,0,15.7084,0,0
1,11,0,24.0,0,0,138.6,1,1
0,13,0,2.0,3,2,55.8,0,0
1,13,0,0.75,2,1,38.5166,0,1
1,11,1,48.0,1,0,153.4584,1,1
0,13,1,19.0,0,0,15.7916,0,0
1,11,1,56.0,0,0,71.0,1,1
1,13,0,23.0,0,0,15.1,0,0
1,12,0,18.0,0,1,46.0,0,0
0,13,1,21.0,0,0,16.8666,0,0
0,13,0,18.0,0,0,13.5,0,2
0,12,1,24.0,2,0,147.0,0,0
0,13,0,32.0,1,1,31.0,0,2
0,12,1,23.0,0,0,26.0,0,0
0,11,1,58.0,0,2,226.55,1,1
1,11,1,50.0,2,0,267.3,0,0
0,13,1,40.0,0,0,14.45,0,1
0,11,1,47.0,0,0,51.175,1,0
0,13,1,36.0,0,0,14.9916,0,0
1,13,1,20.0,1,0,15.85,0,0
0,12,1,32.0,2,0,147.0,0,0
0,12,1,25.0,0,0,26.0,0,0
0,13,1,43.0,0,0,16.1,0,0
1,12,0,40.0,1,1,78.0,0,0
0,11,1,31.0,1,0,104.0,1,0
0,12,1,70.0,0,0,21.0,0,0
1,12,1,31.0,0,0,26.0,0,0
0,13,1,18.0,0,0,15.55,0,0
0,13,1,24.5,0,0,16.1,0,0
1,13,0,18.0,0,0,19.6834,0,0
0,13,0,43.0,1,6,93.8,0,0
1,11,1,36.0,0,1,1024.6584,1,1
1,11,1,27.0,0,0,153.4584,1,1
0,13,1,20.0,0,0,18.45,0,0
0,13,1,14.0,5,2,93.8,0,0
0,12,1,60.0,1,1,78.0,0,0
0,12,1,25.0,1,2,83.1584,0,1
0,13,1,14.0,4,1,79.375,0,0
0,13,1,19.0,0,0,20.3416,0,0
0,13,1,18.0,0,0,15.5916,0,0
1,11,0,15.0,0,1,422.675,1,0
1,11,1,31.0,1,0,114.0,1,0
1,13,0,4.0,0,1,26.8334,0,1
0,13,1,25.0,0,0,14.45,0,1
0,11,1,60.0,0,0,53.1,0,0
0,12,1,52.0,0,0,27.0,0,0
0,13,1,44.0,0,0,16.1,0,0
0,11,1,49.0,1,1,221.7666,1,1
0,13,1,42.0,0,0,15.3,1,0
1,11,0,18.0,1,0,455.05,1,1
1,11,1,35.0,0,0,52.575,1,0
0,13,0,18.0,0,1,28.9084,0,1
0,13,1,25.0,0,0,15.4834,0,2
0,13,1,26.0,1,0,15.7084,0,0
0,12,1,39.0,0,0,52.0,0,0
1,12,0,45.0,0,0,27.0,0,0
1,11,1,42.0,0,0,52.575,1,0
1,11,0,22.0,0,0,303.1,0,0
1,11,0,24.0,0,0,99.0084,1,1
1,11,1,48.0,1,0,104.0,1,0
0,13,1,29.0,0,0,18.9666,0,0
0,12,1,52.0,0,0,26.0,0,0
0,13,1,19.0,0,0,15.3,1,0
1,11,0,38.0,0,0,455.05,1,1
1,12,0,27.0,0,0,21.0,1,0
0,13,1,33.0,0,0,15.55,0,0
1,12,0,6.0,0,1,66.0,0,0
0,13,1,17.0,1,0,14.1084,0,0
0,12,1,34.0,0,0,26.0,0,0
0,12,1,50.0,0,0,26.0,0,0
1,11,1,27.0,1,0,106.2,1,0
0,13,1,20.0,0,0,17.325,0,0
1,12,0,30.0,3,0,42.0,0,0
0,12,1,25.0,1,0,52.0,0,0
0,13,0,25.0,1,0,15.85,0,0
1,11,0,29.0,0,0,422.675,1,0
0,13,1,11.0,0,0,37.575,0,1
0,12,1,23.0,0,0,26.0,0,0
0,12,1,23.0,0,0,26.0,0,0
0,13,1,28.5,0,0,32.2,0,0
0,13,0,48.0,1,3,68.75,0,0
1,11,1,35.0,0,0,1024.6584,1,1
0,11,1,36.0,1,0,157.7,1,0
1,11,0,21.0,2,2,524.75,1,1
0,13,1,24.0,1,0,32.2,0,0
1,13,1,31.0,0,0,15.85,0,0
0,11,1,70.0,1,1,142.0,1,0
0,13,1,16.0,1,1,40.5,0,0
1,12,0,30.0,0,0,26.0,0,0
0,11,1,19.0,1,0,106.2,1,0
0,13,1,31.0,0,0,15.5,0,2
1,12,0,4.0,1,1,46.0,0,0
1,13,1,6.0,0,1,24.95,1,0
0,13,1,33.0,0,0,19.0,0,0
0,13,1,23.0,0,0,15.7916,0,0
1,12,0,48.0,1,2,130.0,0,0
1,12,1,0.67,1,1,29.0,0,0
0,13,1,28.0,0,0,15.5916,0,0
0,12,1,18.0,0,0,23.0,0,0
0,13,1,34.0,0,0,16.1,0,0
1,11,0,33.0,0,0,173.0,1,0
0,13,1,41.0,0,0,14.25,0,0
1,13,1,20.0,0,0,14.4584,0,1
1,11,0,36.0,1,2,240.0,1,0
0,13,1,16.0,0,0,15.55,0,0
1,11,0,51.0,1,0,155.9166,1,0
0,13,0,30.5,0,0,15.5,0,2
0,13,1,32.0,0,0,16.725,0,0
0,13,1,24.0,0,0,19.0,0,0
0,13,1,48.0,0,0,15.7084,0,0
0,12,0,57.0,0,0,21.0,1,0
1,12,0,54.0,1,3,46.0,0,0
0,13,1,18.0,0,0,15.5,0,0
1,13,0,5.0,0,0,24.95,0,0
1,11,0,43.0,0,1,422.675,1,0
1,13,0,13.0,0,0,14.4584,0,1
1,11,0,17.0,1,0,114.0,1,0
0,11,1,29.0,0,0,60.0,1,0
0,13,1,25.0,0,0,14.1,0,0
0,13,1,25.0,0,0,14.5,0,0
1,13,0,18.0,0,0,14.9916,0,0
0,13,1,8.0,4,1,58.25,0,2
1,13,1,1.0,1,2,41.15,0,0
0,11,1,46.0,0,0,158.4,1,1
0,12,1,16.0,0,0,52.0,0,0
0,13,1,25.0,0,0,15.7916,0,0
0,12,1,39.0,0,0,26.0,0,0
1,11,0,49.0,0,0,51.8584,1,0
1,13,0,31.0,0,0,17.3666,0,0
0,13,1,30.0,0,0,14.4584,0,1
0,13,0,30.0,1,1,48.3,0,0
0,12,1,34.0,0,0,26.0,0,0
1,12,0,31.0,1,1,52.5,0,0
1,11,1,11.0,1,2,240.0,1,0
1,13,1,0.42,0,1,17.0334,0,1
1,13,1,27.0,0,0,13.95,0,0
0,13,1,31.0,0,0,15.55,0,0
0,11,1,39.0,0,0,0.0,1,0
0,13,0,18.0,0,0,15.55,0,0
0,12,1,39.0,0,0,26.0,0,0
1,11,0,33.0,1,0,106.2,1,0
0,13,1,26.0,0,0,15.775,0,0
0,13,1,39.0,0,0,48.3,0,0
0,12,1,35.0,0,0,21.0,0,0
0,13,0,6.0,4,2,62.55,0,0
0,13,1,30.5,0,0,16.1,0,0
0,13,0,23.0,0,0,15.85,0,0
0,12,1,31.0,1,1,74.0084,0,1
0,13,1,43.0,0,0,12.9,0,0
0,13,1,10.0,3,2,55.8,0,0
1,11,0,52.0,1,1,187.0,1,0
1,13,1,27.0,0,0,17.325,0,0
0,11,1,38.0,0,0,0.0,0,0
1,13,0,27.0,0,1,24.95,1,0
0,13,1,2.0,4,1,79.375,0,0
1,12,1,1.0,0,2,74.0084,0,1
1,13,0,15.0,1,0,28.9084,0,1
1,12,1,0.83,1,1,37.5,0,0
0,13,1,23.0,0,0,15.7084,0,0
0,13,1,18.0,0,0,16.6,0,0
1,11,0,39.0,1,1,166.3166,1,1
0,13,1,21.0,0,0,17.325,0,0
1,13,1,32.0,0,0,112.9916,0,0
0,13,1,20.0,0,0,15.85,0,0
0,12,1,16.0,0,0,21.0,0,0
1,11,0,30.0,0,0,62.0,0,1
0,13,1,34.5,0,0,12.875,0,1
0,13,1,17.0,0,0,17.325,0,0
0,13,1,42.0,0,0,15.1,0,0
0,13,1,35.0,0,0,15.7916,0,1
0,12,1,28.0,0,1,66.0,0,0
0,13,1,4.0,4,2,62.55,0,0
0,13,1,74.0,0,0,15.55,0,0
0,13,0,9.0,1,1,30.4916,0,1
1,11,0,16.0,0,1,78.8,1,0
0,12,0,44.0,1,0,52.0,0,0
1,13,0,18.0,0,1,18.7,0,0
1,11,0,45.0,1,1,329.7334,0,0
1,11,1,51.0,0,0,53.1,1,0
1,13,0,24.0,0,3,38.5166,0,1
0,13,1,41.0,2,0,28.2166,0,0
0,12,1,21.0,1,0,23.0,0,0
1,11,0,48.0,0,0,51.8584,1,0
0,12,1,24.0,0,0,26.0,0,0
1,12,0,42.0,0,0,26.0,0,0
1,12,0,27.0,1,0,27.7166,0,1
0,11,1,31.0,0,0,100.9916,1,0
1,13,1,4.0,1,1,22.2666,0,0
0,13,1,26.0,0,0,15.7916,0,0
1,11,0,47.0,1,1,105.1084,1,0
0,11,1,33.0,0,0,10.0,1,0
0,13,1,47.0,0,0,18.0,0,0
1,12,0,28.0,1,0,48.0,0,1
1,13,0,15.0,0,0,14.45,0,1
0,13,1,20.0,0,0,19.6916,0,0
0,13,1,19.0,0,0,15.7916,0,0
1,11,0,56.0,0,1,166.3166,1,1
1,12,0,25.0,0,1,52.0,0,0
0,13,1,33.0,0,0,15.7916,0,0
0,13,0,22.0,0,0,21.0334,0,0
0,12,1,28.0,0,0,21.0,0,0
0,13,1,25.0,0,0,14.1,0,0
0,13,0,39.0,0,5,58.25,0,2
0,12,1,27.0,0,0,26.0,0,0
1,11,0,19.0,0,0,60.0,1,0
1,11,1,26.0,0,0,60.0,1,1
0,13,1,32.0,0,0,15.5,0,2
